type,buildings,usage_area,living_area,apartments
Nichtwohngebäude,138,249.7,4.2,53
Anstaltsgebäude,7,16.8,–,–
Büro- und Verwaltungsgebäude,23,72.3,1.3,24
landwirtschaftliche Betriebsgebäude,2,2.6,–,–
nichtlandwirtschaftliche Betriebsgebäude,83,116.6,2,22
Fabrik- und Werkstattgebäude,30,57,0.8,3
Handelsgebäude,15,9.1,0.1,1
Warenlagergebäude,17,15.8,–,–
Hotels und Gaststätten,8,13.3,1.1,18
sonstige Nichtwohngebäude,23,41.4,0.9,7
Öffentliche Bauherren,21,64.7,–,–
Unternehmen,90,168.3,2.6,37
Wohnungsunternehmen,51,106.7,1,18
Immobilienfonds,7,15.5,0.2,2
"Land- und Forstw., Tierh., Fischerei",–,–,–,–
Produzierendes Gewerbe,7,1.8,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",25,44.3,1.4,17
Private Haushalte,19,11.6,0.1,1
Organisationen o. Erwerbszweck,8,5.1,1.5,15
vor  1919,12,40.2,1.4,17
von 1919 bis 1948,20,21,0.1,1
von 1949 bis 1978,64,106.3,0.6,5
von 1979 bis 1986,21,42.3,1,10
von 1987 bis 1990,13,20.8,1.1,20
von 1991 bis 1995,2,1.1,–,–
von 1996 bis 2010,6,17.9,–,–
2011 und später,–,–,–,–
