type,buildings,district_heating,block_heating,central_heating,floor_heating,single_room_heating,without_heating
Wohngebäude,1589,457,95,1005,24,8,–
darin: Wohnungen,14704,8951,2027,3666,33,27,–
Wohngebäude mit 1 Wohnung,935,95,15,799,19,7,–
Wohngebäude mit 2 Wohnungen,55,–,–,53,2,–,–
Wohngebäude mit 3 o. m. Wohnungen,588,361,76,148,3,–,–
darin: Wohnungen,12812,8741,1805,2256,10,–,–
Wohnheime,11,1,4,5,–,1,–
darin: Wohnungen,847,115,207,505,–,20,–
Wohngebäude mit Eigentumswohnungen,172,102,19,50,1,–,–
darin: Wohnungen,3298,2445,385,466,2,–,–
Nichtwohngebäude,155,61,3,58,2,14,17
darin: Rauminhalt 1 000 m³,3074,2461,21,466,12,29,85
Anstaltsgebäude,7,5,–,–,1,1,–
darin: Rauminhalt 1 000 m³,173,167,–,–,2,3,–
Büro- und Verwaltungsgebäude,36,20,1,15,–,–,–
darin: Rauminhalt 1 000 m³,1497,1370,0,127,–,–,–
landwirtschaftliche Betriebsgebäude,1,–,–,–,–,1,–
darin: Rauminhalt 1 000 m³,1,–,–,–,–,1,–
nichtlandwirtschaftliche Betriebsgebäude,65,14,2,29,–,5,15
darin: Rauminhalt 1 000 m³,1188,783,21,283,–,17,83
Fabrik- und Werkstattgebäude,15,2,1,8,–,3,1
darin: Rauminhalt 1 000 m³,101,24,6,58,–,12,1
Handelsgebäude,19,3,1,13,–,1,1
darin: Rauminhalt 1 000 m³,358,166,15,160,–,5,12
Warenlagergebäude,14,4,–,2,–,–,8
darin: Rauminhalt 1 000 m³,176,83,–,56,–,–,36
Hotels und Gaststätten,7,3,–,3,–,1,–
darin: Rauminhalt 1 000 m³,103,99,–,4,–,0,–
sonstige Nichtwohngebäude,46,22,–,14,1,7,2
darin: Rauminhalt 1 000 m³,215,141,–,56,9,7,2
ausgewählte Infrastrukturgebäude,55,27,–,15,2,8,3
darin: Rauminhalt 1 000 m³,394,308,–,56,12,15,3
