id,type,buildings,oil,gas,electricity,district_heating,geothermal_energy,environmental_thermal_energy,solar_thermal_energy,wood,biogas_bio_methane,other_bio_mass,other_heating,no_heating,conventional_energy,renewable_energy
1,Wohngebäude,1589,–,42,163,–,10,14,174,50,5,–,13,1118,205,253
2,darin: Wohnungen,14704,–,262,970,–,73,500,958,51,5,–,184,11701,1232,1587
3,Wohngebäude mit 1 Wohnung,935,–,26,130,–,3,2,107,49,5,–,4,609,156,166
4,Wohngebäude mit 2 Wohnungen,55,–,1,11,–,–,1,11,1,–,–,–,30,12,13
5,Wohngebäude mit 3 o. m. Wohnungen,588,–,14,21,–,7,11,56,–,–,–,9,470,35,74
6,darin: Wohnungen,12812,–,216,761,–,70,496,829,–,–,–,180,10260,977,1395
7,Wohnheime,11,–,1,1,–,–,–,–,–,–,–,–,9,2,–
8,darin: Wohnungen,847,–,18,57,–,–,–,–,–,–,–,–,772,75,–
9,Wohngebäude mit Eigentumswohnungen,172,–,5,1,–,4,7,16,–,–,–,–,139,6,27
10,darin: Wohnungen,3298,–,70,7,–,47,402,120,–,–,–,–,2652,77,569
11,Nichtwohngebäude,155,–,2,7,–,1,6,6,–,–,–,1,132,9,13
12,darin: Rauminhalt 1 000 m³,3074,–,16,41,–,611,122,92,–,–,–,7,2185,57,825
13,Anstaltsgebäude,7,–,–,–,–,–,–,–,–,–,–,–,7,–,–
14,darin: Rauminhalt 1 000 m³,173,–,–,–,–,–,–,–,–,–,–,–,173,–,–
15,Büro- und Verwaltungsgebäude,36,–,–,1,–,1,2,1,–,–,–,–,31,1,4
16,darin: Rauminhalt 1 000 m³,1497,–,–,2,–,611,64,72,–,–,–,–,749,2,746
17,landwirtschaftliche Betriebsgebäude,1,–,–,–,–,–,–,–,–,–,–,–,1,–,–
18,darin: Rauminhalt 1 000 m³,1,–,–,–,–,–,–,–,–,–,–,–,1,–,–
19,nichtlandwirtschaftliche Betriebsgebäude,65,–,–,4,–,–,2,4,–,–,–,1,54,4,6
20,darin: Rauminhalt 1 000 m³,1188,–,–,30,–,–,52,20,–,–,–,7,1079,30,71
21,Fabrik- und Werkstattgebäude,15,–,–,–,–,–,–,–,–,–,–,–,15,–,–
22,darin: Rauminhalt 1 000 m³,101,–,–,–,–,–,–,–,–,–,–,–,101,–,–
23,Handelsgebäude,19,–,–,3,–,–,1,2,–,–,–,1,12,3,3
24,darin: Rauminhalt 1 000 m³,358,–,–,26,–,–,17,18,–,–,–,7,289,26,35
25,Warenlagergebäude,14,–,–,–,–,–,–,–,–,–,–,–,14,–,–
26,darin: Rauminhalt 1 000 m³,176,–,–,–,–,–,–,–,–,–,–,–,176,–,–
27,Hotels und Gaststätten,7,–,–,–,–,–,–,1,–,–,–,–,6,–,1
28,darin: Rauminhalt 1 000 m³,103,–,–,–,–,–,–,1,–,–,–,–,102,–,1
29,sonstige Nichtwohngebäude,46,–,2,2,–,–,2,1,–,–,–,–,39,4,3
30,darin: Rauminhalt 1 000 m³,215,–,16,9,–,–,6,1,–,–,–,–,183,25,7
31,ausgewählte Infrastrukturgebäude,55,–,2,2,–,–,2,1,–,–,–,–,48,4,3
32,darin: Rauminhalt 1 000 m³,394,–,16,9,–,–,6,1,–,–,–,–,363,25,7
