type,unit,buildings,steel,reinforced_concrete,bricks,sand_lime_bricks,aerated_concrete,light_concrete,wood,other
Wohngebäude,Anzahl,1868,3,436,193,578,445,21,178,14
Rauminhalt,1 000 m³,5065,42,2099,382,1891,448,24,169,10
Wohngebäude mit 1 Wohnung,Anzahl,1094,1,129,128,273,374,18,158,13
Rauminhalt,1 000 m³,734,1,84,89,176,264,11,102,8
Wohngebäude mit 2 Wohnungen,Anzahl,79,–,12,14,8,39,–,5,1
Rauminhalt,1 000 m³,78,–,14,10,10,37,–,5,2
Wohngeb. mit 3 o. m. Wohnungen,Anzahl,683,–,285,51,297,32,3,15,–
Rauminhalt,1 000 m³,4083,–,1873,283,1705,147,13,62,–
Wohnheime,Anzahl,12,2,10,–,–,–,–,–,–
Rauminhalt,1 000 m³,170,41,129,–,–,–,–,–,–
Wohngeb. m. Eigentumswohn.,Anzahl,243,–,113,26,95,5,–,4,–
Rauminhalt,1 000 m³,1619,–,876,166,559,15,–,4,–
Nichtwohngebäude,Anzahl,182,25,92,11,22,11,1,17,3
Rauminhalt,1 000 m³,3993,494,2941,97,182,57,1,93,127
Anstaltsgebäude,Anzahl,3,1,1,–,1,–,–,–,–
Rauminhalt,1 000 m³,69,4,38,–,27,–,–,–,–
Büro- und Verwaltungsgebäude,Anzahl,45,4,31,1,2,2,1,3,1
Rauminhalt,1 000 m³,1069,66,954,10,8,6,1,19,3
landwirtschaftl. Betriebsgebäude,Anzahl,–,–,–,–,–,–,–,–,–
Rauminhalt,1 000 m³,–,–,–,–,–,–,–,–,–
nichtlandwirtschaftl. Betriebsgeb.,Anzahl,80,16,45,4,8,4,–,2,1
Rauminhalt,1 000 m³,2481,411,1820,27,76,26,–,1,120
Fabrik- und Werkstattgebäude,Anzahl,25,7,12,2,2,2,–,–,–
Rauminhalt,1 000 m³,484,205,252,6,6,15,–,–,–
Handelsgebäude,Anzahl,10,1,7,2,–,–,–,–,–
Rauminhalt,1 000 m³,207,5,181,21,–,–,–,–,–
Warenlagergebäude,Anzahl,16,7,9,–,–,–,–,–,–
Rauminhalt,1 000 m³,1130,97,1033,–,–,–,–,–,–
Hotels und Gaststätten,Anzahl,13,–,9,–,1,1,–,1,1
Rauminhalt,1 000 m³,327,–,203,–,1,2,–,1,120
sonstige Nichtwohngebäude,Anzahl,54,4,15,6,11,5,–,12,1
Rauminhalt,1 000 m³,375,14,130,60,70,25,–,73,4
ausgewählte Infrastrukturgebäude,Anzahl,61,6,18,6,13,5,–,12,1
darin: Rauminhalt 1000 m³,1 000 m³,461,26,172,60,102,25,–,73,4
