type,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
Wohngebäude,8912,5282,1493,1424,2365,279
Wohngebäude mit 1 Wohnung,x,2615,596,605,1414,120
Wohngebäude mit 2 Wohnungen,x,251,81,71,99,5
Wohngebäude mit 3 o. m. Wohnungen,x,2380,811,733,836,153
Wohnheime,58,36,5,15,16,1
Wohngebäude mit Eigentumswohnungen,1761,884,316,278,290,52
Öffentliche Bauherren,535,425,170,170,85,3
Unternehmen,4351,2877,771,715,1391,216
Wohnungsunternehmen,3342,2271,632,529,1110,157
Immobilienfonds,353,167,39,54,74,32
"Land- und Forstw., Tierh., Fischerei",2,1,1,–,–,–
Produzierendes Gewerbe,31,26,4,12,10,1
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",623,412,95,120,197,26
Private Haushalte,3956,1953,542,533,878,58
Organisationen ohne Erwerbszweck,70,27,10,6,11,2
II. Halbjahr 2021,1408,912,28,149,735,2
I.  Halbjahr 2021,1596,1103,92,450,561,4
II. Halbjahr 2020,1111,647,147,246,254,2
I.  Halbjahr 2020,970,622,265,120,237,15
Jahr 2019,1399,784,328,212,244,77
2018 und früher,2428,1214,633,247,334,179
Mitte,579,228,101,64,63,16
Friedrichshain-Kreuzberg,397,104,25,48,31,1
Pankow,1299,768,228,200,340,41
Charlottenburg-Wilmersdorf,540,179,89,38,52,15
Spandau,677,477,147,161,169,60
Steglitz-Zehlendorf,821,311,104,89,118,3
Tempelhof-Schöneberg,581,247,87,54,106,3
Neukölln,492,257,14,107,136,3
