type,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
Nichtwohngebäude,1230,829,241,221,367,51
Anstaltsgebäude,33,18,6,2,10,–
Büro- und Verwaltungsgebäude,371,236,71,65,100,8
landwirtschaftliche Betriebsgebäude,7,7,2,–,5,1
nichtlandwirtschaftliche Betriebsgebäude,459,329,104,77,148,32
Fabrik- und Werkstattgebäude,113,84,30,18,36,3
Handelsgebäude,85,44,15,12,17,6
Warenlagergebäude,62,49,12,12,25,6
Hotels und Gaststätten,112,72,19,13,40,7
sonstige Nichtwohngebäude,360,239,58,77,104,10
Öffentliche Bauherren,247,182,43,69,70,7
Unternehmen,762,526,164,126,236,38
Wohnungsunternehmen,175,135,46,37,52,6
Immobilienfonds,90,56,11,11,34,3
"Land- und Forstw., Tierh., Fischerei",7,7,4,1,2,1
Produzierendes Gewerbe,94,63,21,15,27,4
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",396,265,82,62,121,24
Private Haushalte,92,47,12,10,25,3
Organisationen ohne Erwerbszweck,129,74,22,16,36,3
II. Halbjahr 2021,197,149,5,19,125,2
I.  Halbjahr 2021,174,116,10,36,70,–
II. Halbjahr 2020,141,93,12,24,57,1
I.  Halbjahr 2020,167,112,28,39,45,2
Jahr 2019,222,165,65,72,28,13
2018 und früher,329,194,121,31,42,33
Mitte,172,118,43,33,42,2
Friedrichshain-Kreuzberg,78,48,18,16,14,3
Pankow,94,62,26,17,19,11
Charlottenburg-Wilmersdorf,136,75,20,17,38,5
Spandau,86,64,21,22,21,5
Steglitz-Zehlendorf,82,51,7,16,28,3
Tempelhof-Schöneberg,94,63,26,12,25,4
