type,residential_buildings,residential_buildings_apartments,residential_buildings_usage_area,non_residential_buildings,non_residential_buildings_apartments,non_residential_buildings_usage_area
insgesamt,213,524,53.4,115,30,221.4
Schaffung öffentlicher Verkehrsflächen,–,–,–,–,–,–
Schaffung von Freiflächen,1,1,0.1,9,–,22.6
Errichtung eines neuen Wohngebäudes,200,481,49.6,42,1,65.1
Errichtung eines neuen Nichtwohngebäudes,4,15,1,28,19,101.5
Bauordnungsrechtliche Unzulässigkeit des Gebäudes,1,1,0.2,–,–,–
Außergewöhnliches Ereignis (Brand etc.),–,–,–,–,–,–
Nutzungsänderung,6,25,2.4,34,10,31.8
Nutzungsänderung ganzer Gebäude im  Zuge von Baumaßnahmen,6,25,2.4,33,10,30.700000000000003
Sonstige Gründe,1,1,0.1,2,–,0.5
Mitte,–,–,–,9,19,51.300000000000004
Friedrichshain-Kreuzberg,6,64,4,5,3,5.9
Pankow,27,128,13.1,21,1,13.3
