type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,2983,7649,15870,11491.6,43504,3333035
Wohngebäude zusammen,2715,1144.2,15552,11359.6,43021,2094599
Wohnheime,20,-23.4,1034,405.4,2077,74948
Wohngebäude mit Eigentumswohnungen,423,432.4,4568,3470.8,11767,636470
Öffentliche Bauherren,186,141.5,3554,1932.8,8261,353046
Unternehmen,1174,772.9,10114,7246.5,27032,1295466
Wohnungsunternehmen,860,692.6,7656,5468.2,19951,983653
Immobilienfonds,58,-14.9,288,235,842,51041
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,75,98.8,807,558.6,2644,88334
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",181,-3.5,1363,984.6,3595,172438
Private Haushalte,1338,252.1,1786,2113.3,7506,432558
Organisationen ohne Erwerbszweck,17,-22.3,98,67,222,13529
Nichtwohngebäude,268,6504.8,318,132.1,483,1238436
Anstaltsgebäude,8,89.1,147,29.8,147,38491
Büro- und Verwaltungsgebäude,77,2110.6,111,55.4,198,602009
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,112,3651.8,38,31,100,393195
Fabrik- und Werkstattgebäude,33,556.8,5,6,25,68249
Handelsgebäude,25,350.6,30,18.3,58,59860
Warenlagergebäude,19,1491.7,1,1.1,5,77453
Hotels und Gaststätten,18,698.7,2,5.5,12,141465
Sonstige Nichtwohngebäude,71,653.3,22,15.9,38,204741
Ausgewählte Infrastrukturgebäude,83,766,170,46.4,188,256839
Öffentliche Bauherren,47,626.6,146,28.8,144,168206
Unternehmen,168,5442.2,156,88.3,318,952631
Wohnungsunternehmen,20,461.7,8,5.3,19,67481
Immobilienfonds,16,773,85,39.1,161,149098
"Land- und Forstw., Tierh., Fischerei",1,9.6,–,–,–,3082
Produzierendes Gewerbe,23,855.5,3,4.4,16,78820
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",108,3342.3,60,39.6,122,654150
Private Haushalte,17,42.2,19,24.4,45,11405
Organisationen o. Erwerbszweck,36,393.8,-3,-9.4,-24,106194
