id,type,buildings,oil,gas,electricity,district_heating,geothermal_energy,environmental_thermal_energy,solar_thermal_energy,wood,biogas_bio_methane,other_bio_mass,other_heating,no_heating,conventional_energy,renewable_energy
1,Wohngebäude,1868,4,791,37,432,86,398,19,7,14,–,80,–,832,524
2,darin: Wohnungen,14134,5,3829,449,8742,141,530,70,41,162,–,165,–,4283,944
3,Wohngebäude mit 1 Wohnung,1094,3,563,17,20,64,348,9,2,–,–,68,–,583,423
4,Wohngebäude mit 2 Wohnungen,79,1,24,–,2,17,31,–,–,–,–,4,–,25,48
5,Wohngebäude mit 3 o. m. Wohnungen,683,–,197,20,405,5,19,10,5,14,–,8,–,217,53
6,darin: Wohnungen,12010,–,2743,432,8321,43,120,61,39,162,–,89,–,3175,425
7,Wohnheime,12,–,7,–,5,–,–,–,–,–,–,–,–,7,–
8,darin: Wohnungen,872,–,475,–,397,–,–,–,–,–,–,–,–,475,–
9,Wohngebäude mit Eigentumswohnungen,243,–,89,–,126,4,9,–,5,7,–,3,–,89,25
10,darin: Wohnungen,4265,–,1224,–,2761,39,69,–,39,114,–,19,–,1224,261
11,Nichtwohngebäude,182,–,43,2,84,2,19,7,–,1,–,4,20,45,29
12,darin: Rauminhalt 1 000 m³,3993,–,845,3,2482,4,208,28,–,10,–,35,379,848,250
13,Anstaltsgebäude,3,–,1,–,2,–,–,–,–,–,–,–,–,1,–
14,darin: Rauminhalt 1 000 m³,69,–,27,–,41,–,–,–,–,–,–,–,–,27,–
15,Büro- und Verwaltungsgebäude,45,–,11,1,27,–,4,1,–,1,–,–,–,12,6
16,darin: Rauminhalt 1 000 m³,1069,–,198,2,778,–,75,6,–,10,–,–,–,200,91
17,landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
18,darin: Rauminhalt 1 000 m³,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
19,nichtlandwirtschaftliche Betriebsgebäude,80,–,20,–,31,–,5,3,–,–,–,1,20,20,8
20,darin: Rauminhalt 1 000 m³,2481,–,550,–,1454,–,73,12,–,–,–,13,379,550,85
21,Fabrik- und Werkstattgebäude,25,–,11,–,11,–,1,–,–,–,–,–,2,11,1
22,darin: Rauminhalt 1 000 m³,484,–,213,–,263,–,2,–,–,–,–,–,6,213,2
23,Handelsgebäude,10,–,–,–,4,–,2,–,–,–,–,1,3,–,2
24,darin: Rauminhalt 1 000 m³,207,–,–,–,55,–,55,–,–,–,–,13,85,–,55
25,Warenlagergebäude,16,–,6,–,6,–,1,–,–,–,–,–,3,6,1
26,darin: Rauminhalt 1 000 m³,1130,–,271,–,837,–,16,–,–,–,–,–,5,271,16
27,Hotels und Gaststätten,13,–,2,–,7,–,1,3,–,–,–,–,–,2,4
28,darin: Rauminhalt 1 000 m³,327,–,62,–,253,–,1,12,–,–,–,–,–,62,12
29,sonstige Nichtwohngebäude,54,–,11,1,24,2,10,3,–,–,–,3,–,12,15
30,darin: Rauminhalt 1 000 m³,375,–,69,1,209,4,59,10,–,–,–,22,–,70,74
31,ausgewählte Infrastrukturgebäude,61,–,14,1,28,2,10,3,–,–,–,3,–,15,15
32,darin: Rauminhalt 1 000 m³,461,–,107,1,258,4,59,10,–,–,–,22,–,108,74
