id,type,buildings,oil,gas,electricity,district_heating,geothermal_energy,environmental_thermal_energy,solar_thermal_energy,wood,biogas_bio_methane,other_bio_mass,other_heating,no_heating,conventional_energy,renewable_energy
1,Wohngebäude,1868,3,695,44,432,85,390,120,5,14,–,79,1,742,614
2,darin: Wohnungen,14134,3,3620,543,8742,135,505,210,39,162,–,163,12,4166,1051
3,Wohngebäude mit 1 Wohnung,1094,3,476,18,20,64,343,102,–,–,–,68,–,497,509
4,Wohngebäude mit 2 Wohnungen,79,–,22,2,2,17,29,4,–,–,–,3,–,24,50
5,Wohngebäude mit 3 o. m. Wohnungen,683,–,190,24,405,4,18,14,5,14,–,8,1,214,55
6,darin: Wohnungen,12010,–,2625,521,8321,37,104,100,39,162,–,89,12,3146,442
7,Wohnheime,12,–,7,–,5,–,–,–,–,–,–,–,–,7,–
8,darin: Wohnungen,872,–,475,–,397,–,–,–,–,–,–,–,–,475,–
9,Wohngebäude mit Eigentumswohnungen,243,–,87,3,126,3,8,1,5,7,–,3,–,90,24
10,darin: Wohnungen,4265,–,1201,29,2761,33,53,16,39,114,–,19,–,1230,255
11,Nichtwohngebäude,182,–,34,44,57,1,12,8,–,1,–,1,24,78,22
12,darin: Rauminhalt 1 000 m³,3993,–,663,999,1639,2,80,72,–,10,–,1,528,1662,164
13,Anstaltsgebäude,3,–,1,–,2,–,–,–,–,–,–,–,–,1,–
14,darin: Rauminhalt 1 000 m³,69,–,27,–,41,–,–,–,–,–,–,–,–,27,–
15,Büro- und Verwaltungsgebäude,45,–,8,15,17,–,1,1,–,1,–,–,2,23,3
16,darin: Rauminhalt 1 000 m³,1069,–,186,354,452,–,1,6,–,10,–,–,59,540,17
17,landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
18,darin: Rauminhalt 1 000 m³,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
19,nichtlandwirtschaftliche Betriebsgebäude,80,–,16,17,18,–,3,4,–,–,–,–,22,33,7
20,darin: Rauminhalt 1 000 m³,2481,–,389,573,966,–,30,56,–,–,–,–,468,962,85
21,Fabrik- und Werkstattgebäude,25,–,7,7,5,–,–,–,–,–,–,–,6,14,–
22,darin: Rauminhalt 1 000 m³,484,–,77,167,212,–,–,–,–,–,–,–,28,244,–
23,Handelsgebäude,10,–,–,6,2,–,1,–,–,–,–,–,1,6,1
24,darin: Rauminhalt 1 000 m³,207,–,–,117,41,–,13,–,–,–,–,–,36,117,13
25,Warenlagergebäude,16,–,6,3,3,–,1,1,–,–,–,–,2,9,2
26,darin: Rauminhalt 1 000 m³,1130,–,246,288,535,–,16,44,–,–,–,–,1,534,60
27,Hotels und Gaststätten,13,–,2,1,5,–,1,3,–,–,–,–,1,3,4
28,darin: Rauminhalt 1 000 m³,327,–,62,1,132,–,1,12,–,–,–,–,120,63,12
29,sonstige Nichtwohngebäude,54,–,9,12,20,1,8,3,–,–,–,1,–,21,12
30,darin: Rauminhalt 1 000 m³,375,–,60,73,180,2,49,10,–,–,–,1,–,133,62
31,ausgewählte Infrastrukturgebäude,61,–,10,13,23,1,8,3,–,–,–,1,2,23,12
32,darin: Rauminhalt 1 000 m³,461,–,88,82,224,2,49,10,–,–,–,1,5,170,62
