type,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
Wohngebäude,61534,53183,17419,19863,15901,3277
Wohngebäude mit 1 Wohnung,–,2753,663,967,1123,128
Wohngebäude mit 2 Wohnungen,–,520,162,148,210,20
Wohngebäude mit 3 o. m. Wohnungen,–,47344,15993,17623,13728,2861
Wohnheime,2878,2566,601,1125,840,268
Wohngebäude mit Eigentumswohnungen,16103,13668,4929,5397,3342,870
Öffentliche Bauherren,10562,10167,3928,3982,2257,170
Unternehmen,43270,37331,11888,14104,11339,2687
Wohnungsunternehmen,31961,27700,8806,9199,9695,1940
Immobilienfonds,3878,3111,1253,1119,739,497
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,565,554,91,394,69,14
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",6866,5966,1738,3392,836,236
Private Haushalte,6795,4906,1479,1511,1916,385
Organisationen ohne Erwerbszweck,907,779,124,266,389,35
II. Halbjahr 2022,7272,6532,2,1379,5151,12
I.  Halbjahr 2022,8406,7392,633,3555,3204,26
II. Halbjahr 2021,7851,7314,1569,3542,2203,5
I.  Halbjahr 2021,8429,7294,3176,3102,1016,86
Jahr 2020,11068,9618,4369,3010,2239,1121
2019 und früher,18508,15033,7670,5275,2088,2027
Mitte,8100,7113,2713,1209,3191,778
Friedrichshain-Kreuzberg,4242,3576,1010,1907,659,54
Pankow,5483,4617,989,2079,1549,311
Charlottenburg-Wilmersdorf,3569,2433,979,588,866,639
Spandau,5376,4530,2307,1108,1115,308
Steglitz-Zehlendorf,2630,1714,618,646,450,29
Tempelhof-Schöneberg,4294,3380,1089,950,1341,102
Neukölln,2786,2172,58,1640,474,22
