type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,1757,8588,7724.6,15404,10242.2,40199,3150120
Wohngebäude zusammen,1570,5237,1691.7,15368,10224.3,40132,1918774
Wohngebäude mit 1 Wohnung,861,611,199.1,861,1211.1,4630,245048
Wohngebäude mit 2 Wohnungen,57,65,34.3,114,124.6,492,24535
Wohngebäude mit 3 o. m. Wohnungen,638,4389,1412.0,13408,8542.2,33393,1576642
Wohnheime,14,172,46.3,985,346.4,1617,72549
Wohngebäude mit Eigentumswohnungen,230,1380,422.9,3548,2512.5,9295,491440
Öffentliche Bauherren,184,1502,401.0,5316,3069.7,12622,552907
Unternehmen,614,3010,993.9,8832,5743.1,22150,1074927
Wohnungsunternehmen,517,2558,782.4,7236,4847.7,18791,919959
Immobilienfonds,9,103,28.0,186,166.3,530,26017
"Land- und Forstw., Tierh., Fischerei",1,2,1.4,1,4.3,10,198
Produzierendes Gewerbe,8,25,8.2,74,45,214,9629
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",79,320,173.9,1335,679.8,2605,119124
Private Haushalte,766,689,283.8,1124,1340.9,5138,277523
Organisationen ohne Erwerbszweck,6,36,12.9,96,70.6,222,13417
Nichtwohngebäude,187,3351,6032.9,36,17.9,67,1231346
Anstaltsgebäude,2,23,28.6,–,–,–,8134
Büro- und Verwaltungsgebäude,46,1787,3159.4,11,8.2,31,717387
Landwirtschaftliche Betriebsgebäude,3,4,10.0,–,–,–,132
Nichtlandwirtschaftliche Betriebsgebäude,72,838,1775.3,24,8.5,30,158218
Fabrik- und Werkstattgebäude,16,145,178.4,3,1.2,9,38153
Handelsgebäude,12,204,332.9,21,7.3,21,32920
Warenlagergebäude,19,172,312.2,–,–,–,17898
Hotels und Gaststätten,8,64,135.4,–,–,–,34802
Sonstige Nichtwohngebäude,64,700,1059.6,1,1.2,6,347475
Ausgewählte Infrastrukturgebäude,72,745,1130.7,1,1.2,6,371218
Öffentliche Bauherren,52,672,1003.5,–,–,–,320354
Unternehmen,101,2452,4638.5,7,5.7,25,788313
Wohnungsunternehmen,19,368,698.9,–,–,–,134578
Immobilienfonds,5,141,265.9,–,–,–,66368
"Land- und Forstw., Tierh., Fischerei",4,9,16.7,–,–,–,282
Produzierendes Gewerbe,11,129,164.6,–,–,–,20606
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",62,1806,3492.4,7,5.7,25,566479
Private Haushalte,9,33,56.3,8,4.1,16,8179
Organisationen o. Erwerbszweck,25,195,334.6,21,8.2,26,114500
