district_name,buildings,volume,usage_area,apartments,living_are,estimated_costs
Mitte,58,570,174.1,1795,1137.3,243470
Friedrichshain-Kreuzberg,14,123,36.8,490,244.5,43613
Pankow,235,434,128.3,1455,863.9,187478
Charlottenburg-Wilmersdorf,41,331,124.3,764,622.5,164217
Spandau,96,234,92.0,608,468.5,94084
Steglitz-Zehlendorf,56,142,97.4,265,232.3,70335
Tempelhof-Schöneberg,69,223,114.7,618,396.7,92039
Neukölln,83,244,70.0,663,475.1,92946
Treptow-Köpenick,207,550,180.9,2076,1077.4,233493
Marzahn-Hellersdorf,339,753,255.7,2077,1533.4,293497
Lichtenberg,137,976,189.2,3268,1862.9,430645
Reinickendorf,101,138,58.4,352,274.6,68667
