id,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
01,8100,7113,2713,1209,3191,778
02,4242,3576,1010,1907,659,54
03,5483,4617,989,2079,1549,311
04,3569,2433,979,588,866,639
05,5376,4530,2307,1108,1115,308
06,2630,1714,618,646,450,29
07,4294,3380,1089,950,1341,102
08,2786,2172,58,1640,474,22
09,9176,8782,2645,4343,1794,351
10,5398,5246,2118,1635,1493,559
11,8140,7754,2497,2886,2371,110
12,2340,1866,396,872,598,14
