type_index,type_parent_index,type,buildings,usage_area,living_area,apartments
0,-1,residential_buildings,123,11.0,26.2,330
1,0,residential_buildings_with_1_apartment,104,3.0,10.7,104
2,0,residential_buildings_with_2_apartments,6,0.4,1.1,12
3,0,residential_buildings_with_3_or_more_apartments,10,2.3,9.0,143
4,0,dormitories,3,5.3,5.4,71
5,0,public_builders,2,5.3,5.4,70
6,0,companies,24,2.5,10.7,146
7,6,housing_companies,14,1.1,4.4,50
8,6,real_estate_funds,0,0.0,0.0,0
9,6,agriculture_forestry_animal_husbandry_fishing,0,0.0,0.0,0
10,6,manufacturing_industry,4,0.2,2.4,44
11,6,trade_banking_services_insurance_transport_and_communications,6,1.2,3.9,52
12,0,private_households,96,3.1,10.0,113
13,0,non_profit_organizations,1,0.1,0.2,1
14,0,before 1919,11,0.5,3.6,57
15,0,between 1919 and 1948,46,1.7,5.5,62
16,0,between 1949 and 1978,57,6.8,11.5,128
17,0,between 1979 and 1986,6,1.6,4.6,66
18,0,between 1987 and 1990,2,0.3,1.0,16
19,0,between 1991 and 1995,1,0.1,0.1,1
20,0,between 1996 and 2010,0,0.0,0.0,0
21,0,2011 and later,0,0.0,0.0,0
