type_index,type_parent_index,type,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
0,-1,residential_buildings,65270,56136,18406,17916,19814,2598
1,0,residential_buildings_with_1_apartment,x,2615,596,605,1414,120
2,0,residential_buildings_with_2_apartments,x,502,162,142,198,10
3,0,residential_buildings_with_3_or_more_apartments,x,50153,17419,15663,17071,2460
4,0,dormitories,2930,2866,229,1506,1131,8
5,0,residential_buildings_with_condominium,18838,15581,5642,5618,4321,954
6,0,public_builders,10676,10218,5182,3168,1868,81
7,0,companies,47353,40726,11769,13608,15349,2359
8,7,housing_companies,34891,30589,9855,9141,11593,1634
9,7,real_estate_funds,4134,3305,572,1474,1259,540
10,7,agriculture_forestry_animal_husbandry_fishing,1,1,1,0,0,0
11,7,manufacturing_industry,268,258,58,115,85,14
12,7,trade_banking_services_insurance_transport_and_communications,8059,6573,1283,2878,2412,171
13,1,private_households,6519,4543,1252,1023,2268,156
14,1,non_profit_organizations,722,649,203,117,329,2
15,1,2021 half-year 2,7681,7094,46,1359,5689,20
16,1,2021 half-year 1,9816,8632,528,4916,3188,23
17,1,2020 half-year 2,6134,5141,1071,1814,2256,2
18,1,2020 half-year 1,10450,9678,4143,1926,3609,94
19,1,2019,13581,11616,5013,4377,2226,864
20,1,2018 and earlier,17608,13975,7605,3524,2846,1595
21,1,Mitte,8550,7476,2673,2112,2691,209
22,1,Friedrichshain-Kreuzberg,4184,3337,947,1614,776,18
23,1,Pankow,5382,4312,1300,1541,1471,630
24,1,Charlottenburg-Wilmersdorf,4433,3436,1561,1014,861,90
25,1,Spandau,5469,4760,1228,1880,1652,263
26,1,Steglitz-Zehlendorf,2998,2019,779,721,519,31
27,1,Tempelhof-Schöneberg,4255,3367,915,782,1670,3
28,1,Neukölln,2699,2150,128,702,1320,16
29,1,Treptow-Köpenick,10323,9272,2972,3127,3173,552
30,1,Marzahn-Hellersdorf,6950,6694,3290,1213,2191,197
31,1,Lichtenberg,7627,7230,1858,2402,2970,446
32,1,Reinickendorf,2400,2083,755,808,520,143
