type_index,type_parent_index,type,buildings,oil,gas,electricity,district_heating,geothermal_energy,environmental_thermal_energy,solar_thermal_energy,wood,biogas_bio_methane,other_bio_mass,other_heating,no_heating,conventional_energy,renewable_energy
0,-1,residential_buildings,1868,4,791,37,432,86,398,19,7,14,0,80,0,832,524
1,1,apartments,14134,5,3829,449,8742,141,530,70,41,162,0,165,0,4283,944
2,2,residential_buildings_with_1_apartment,1094,3,563,17,20,64,348,9,2,0,0,68,0,583,423
3,2,residential_buildings_with_2_apartments,79,1,24,0,2,17,31,0,0,0,0,4,0,25,48
4,2,residential_buildings_with_3_or_more_apartments,683,0,197,20,405,5,19,10,5,14,0,8,0,217,53
5,4,apartments,12010,0,2743,432,8321,43,120,61,39,162,0,89,0,3175,425
6,2,dormitories,12,0,7,0,5,0,0,0,0,0,0,0,0,7,0
7,6,apartments,872,0,475,0,397,0,0,0,0,0,0,0,0,475,0
8,2,residential_buildings_with_condominium,243,0,89,0,126,4,9,0,5,7,0,3,0,89,25
9,8,apartments,4265,0,1224,0,2761,39,69,0,39,114,0,19,0,1224,261
10,0,non_residential_buildings,182,0,43,2,84,2,19,7,0,1,0,4,20,45,29
11,10,volume_1000_m3,3993,0,845,3,2482,4,208,28,0,10,0,35,379,848,250
12,10,institution_buildings,3,0,1,0,2,0,0,0,0,0,0,0,0,1,0
13,12,volume_1000_m3,69,0,27,0,41,0,0,0,0,0,0,0,0,27,0
14,10,office_and_administration_buildings,45,0,11,1,27,0,4,1,0,1,0,0,0,12,6
15,14,volume_1000_m3,1069,0,198,2,778,0,75,6,0,10,0,0,0,200,91
16,10,agricultural_buildings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,16,volume_1000_m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,10,non_agricultural_buildings,80,0,20,0,31,0,5,3,0,0,0,1,20,20,8
19,18,volume_1000_m3,2481,0,550,0,1454,0,73,12,0,0,0,13,379,550,85
20,18,factory_and_workshop_buildings,25,0,11,0,11,0,1,0,0,0,0,0,2,11,1
21,20,volume_1000_m3,484,0,213,0,263,0,2,0,0,0,0,0,6,213,2
22,18,commercial_buildings,10,0,0,0,4,0,2,0,0,0,0,1,3,0,2
23,22,volume_1000_m3,207,0,0,0,55,0,55,0,0,0,0,13,85,0,55
24,18,warehouse_buildings,16,0,6,0,6,0,1,0,0,0,0,0,3,6,1
25,24,volume_1000_m3,1130,0,271,0,837,0,16,0,0,0,0,0,5,271,16
26,18,hotels_and_restaurants,13,0,2,0,7,0,1,3,0,0,0,0,0,2,4
27,26,volume_1000_m3,327,0,62,0,253,0,1,12,0,0,0,0,0,62,12
28,18,other_non_residential_buildings,54,0,11,1,24,2,10,3,0,0,0,3,0,12,15
29,28,volume_1000_m3,375,0,69,1,209,4,59,10,0,0,0,22,0,70,74
30,10,selected_infrastructure_buildings,61,0,14,1,28,2,10,3,0,0,0,3,0,15,15
31,30,volume_1000_m3,461,0,107,1,258,4,59,10,0,0,0,22,0,108,74
