type_index,type_parent_index,type,buildings,oil,gas,electricity,district_heating,geothermal_energy,environmental_thermal_energy,solar_thermal_energy,wood,biogas_bio_methane,other_bio_mass,other_heating,no_heating,conventional_energy,renewable_energy
0,-1,residential_buildings,1868,3,96,146,0,13,25,160,65,2,0,5,1353,245,265
1,1,apartments,14134,6,868,523,0,80,177,735,75,4,0,25,11641,1397,1071
2,2,residential_buildings_with_1_apartment,1094,0,40,133,0,1,13,92,58,1,0,3,753,173,165
3,2,residential_buildings_with_2_apartments,79,3,2,5,0,0,2,15,6,0,0,0,46,10,23
4,2,residential_buildings_with_3_or_more_apartments,683,0,54,8,0,12,10,53,1,1,0,2,542,62,77
5,4,apartments,12010,0,824,380,0,79,160,613,5,3,0,22,9924,1204,860
6,2,dormitories,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0
7,6,apartments,872,0,0,0,0,0,0,0,0,0,0,0,872,0,0
8,2,residential_buildings_with_condominium,243,0,13,7,0,1,8,27,0,1,0,0,186,20,37
9,8,apartments,4265,0,99,376,0,13,95,247,0,3,0,0,3432,475,358
10,0,non_residential_buildings,182,0,5,13,0,7,3,8,1,2,0,2,141,18,21
11,10,volume_1000_m3,3993,0,103,189,0,123,57,35,2,8,0,41,3435,292,225
12,10,institution_buildings,3,0,1,0,0,0,0,0,0,0,0,0,2,1,0
13,12,volume_1000_m3,69,0,38,0,0,0,0,0,0,0,0,0,31,38,0
14,10,office_and_administration_buildings,45,0,1,2,0,3,2,1,1,1,0,0,34,3,8
15,14,volume_1000_m3,1069,0,50,9,0,104,48,3,2,4,0,0,848,59,161
16,10,agricultural_buildings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,16,volume_1000_m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,10,non_agricultural_buildings,80,0,0,6,0,3,0,3,0,0,0,1,67,6,6
19,18,volume_1000_m3,2481,0,0,140,0,12,0,18,0,0,0,13,2298,140,30
20,18,factory_and_workshop_buildings,25,0,0,1,0,0,0,2,0,0,0,0,22,1,2
21,20,volume_1000_m3,484,0,0,1,0,0,0,7,0,0,0,0,476,1,7
22,18,commercial_buildings,10,0,0,2,0,0,0,0,0,0,0,1,7,2,0
23,22,volume_1000_m3,207,0,0,47,0,0,0,0,0,0,0,13,147,47,0
24,18,warehouse_buildings,16,0,0,1,0,0,0,0,0,0,0,0,15,1,0
25,24,volume_1000_m3,1130,0,0,23,0,0,0,0,0,0,0,0,1107,23,0
26,18,hotels_and_restaurants,13,0,0,1,0,3,0,1,0,0,0,0,8,1,4
27,26,volume_1000_m3,327,0,0,38,0,12,0,11,0,0,0,0,266,38,23
28,18,other_non_residential_buildings,54,0,3,5,0,1,1,4,0,1,0,1,38,8,7
29,28,volume_1000_m3,375,0,15,40,0,7,10,13,0,4,0,28,258,55,34
30,10,selected_infrastructure_buildings,61,0,4,6,0,1,1,4,0,1,0,1,43,10,7
31,30,volume_1000_m3,461,0,53,41,0,7,10,13,0,4,0,28,305,94,34
