type_index,type_parent_index,type,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
0,-1,residential_buildings,8820,5256,1509,1842,1905,270
1,0,residential_buildings_with_1_apartment,0,2753,663,967,1123,128
2,0,residential_buildings_with_2_apartments,0,260,81,74,105,10
3,0,residential_buildings_with_3_or_more_apartments,0,2210,759,789,662,129
4,0,dormitories,56,33,6,12,15,3
5,0,residential_buildings_with_condominium,1637,764,251,287,226,79
6,0,public_builders,464,384,179,158,47,5
7,0,companies,4121,2724,736,951,1037,193
8,7,housing_companies,3099,2098,557,665,876,149
9,7,real_estate_funds,393,200,65,84,51,3
10,7,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
11,7,manufacturing_industry,49,41,7,25,9,3
12,7,trade_banking_services_insurance_transport_and_communications,580,385,107,177,101,38
13,1,private_households,4149,2109,589,722,798,71
14,1,non_profit_organizations,86,39,5,11,23,1
15,1,II. Halbjahr 2022,1166,754,2,151,601,2
16,1,I.  Halbjahr 2022,1315,852,79,405,368,4
17,1,2021 half-year 2,1236,803,196,400,207,4
18,1,2021 half-year 1,1237,814,279,287,248,6
19,1,Jahr 2020,1356,742,293,308,141,79
20,1,2019 und früher,2510,1291,660,291,340,175
21,1,Mitte,510,203,101,29,73,15
22,1,Friedrichshain-Kreuzberg,393,119,29,54,36,2
23,1,Pankow,1282,819,234,308,277,34
24,1,Charlottenburg-Wilmersdorf,533,146,58,32,56,17
25,1,Spandau,597,399,171,107,121,35
26,1,Steglitz-Zehlendorf,856,325,88,99,138,9
27,1,Tempelhof-Schöneberg,640,307,69,99,139,7
28,1,Neukölln,558,319,13,171,135,13
29,1,Treptow-Köpenick,1232,941,257,472,212,73
30,1,Marzahn-Hellersdorf,905,751,298,224,229,45
31,1,Lichtenberg,768,653,127,148,378,14
32,1,Reinickendorf,546,274,64,99,111,6
