type_index,type_parent_index,type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,2595.0,7300.8,17310,11678.7,45145,3724486.0
1,0,residential_buildings,2314.0,1117,17278,11655.4,45059,2277753.0
2,1,dormitories,18.0,43.7,988,351.7,1632,74130.0
3,1,residential_buildings_with_condominium,365.0,81.2,4536,3121.6,11405,634018.0
4,1,public_builders,202.0,401.3,5412,3135.4,12910,575971.0
5,1,companies,849.0,568.7,10230,6620.8,25293,1290912.0
6,5,housing_companies,680.0,612.9,7776,5303.7,20497,1023124.0
7,5,real_estate_funds,32.0,"– 97,1",370,260.9,862,51861.0
8,5,agriculture_forestry_animal_husbandry_fishing,2.0,1.4,1,4.8,9,347.0
9,5,manufacturing_industry,9.0,8.2,75,45.5,218,9680.0
10,5,trade_banking_services_insurance_transport_and_communications,126.0,43.3,2008,1005.9,3707,205900.0
11,1,private_households,1249.0,134.2,1540,1826.3,6624,395659.0
12,1,non_profit_organizations,14.0,12.8,96,73,232,15211.0
13,0,non_residential_buildings,281.0,6183.8,32,23.3,86,1446733.0
14,13,institution_buildings,6.0,37.2,1,3.4,14,14542.0
15,13,office_and_administration_buildings,75.0,3209.8,29,17.8,56,779602.0
16,13,algricultural_buildings,3.0,10,0,0,0,132.0
17,13,non_algricultural_buildings,94.0,1785.6,29,15.7,50,185694.0
18,17,factory_and_workshop_buildings,21.0,189,3,1.2,9,46327.0
19,17,commercial_buildings,20.0,328.7,26,15.3,42,44715.0
20,17,warehouse_buildings,22.0,316.8,0,0,0,19662.0
21,17,hotels_and_restaurants,12.0,139.6,0,"– 0,8",– 1,38882.0
22,13,other_non_residential_buildings,103.0,1141.3,– 27,"– 13,6",– 34,466763.0
23,13,selected_infrastructure_buildings,115.0,1221,– 26,"– 10,3",– 20,497842.0
24,13,public_builders,66.0,1060.7,– 1,"– 0,9",– 5,417128.0
25,13,companies,151.0,4718.4,– 16,"– 4,9",– 1,884261.0
26,25,housing_companies,29.0,695.8,– 9,"– 7,4",– 1,146430.0
27,25,real_estate_funds,12.0,267.7,11,8.6,27,89222.0
28,25,agriculture_forestry_animal_husbandry_fishing,4.0,16.7,0,0,0,282.0
29,25,manufacturing_industry,17.0,181.6,0,0,0,24944.0
30,25,trade_banking_services_insurance_transport_and_communications,89.0,3556.7,– 18,"– 6,0",– 27,623383.0
31,13,private_households,21.0,54.3,28,20.7,69,14395.0
32,13,non_profit_organisations,43.0,350.4,21,8.4,23,130949.0
