type_index,type_parent_index,type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,2556,5867.0,16337,11524.3,42983,3173918
1,0,residential_buildings,2339,1158.7,16290,11505.4,42918,2004950
2,1,dormitories,21,-35.1,1208,355.3,1648,58362
3,1,residential_buildings_with_condominium,325,121.9,3710,3006.6,10191,528172
4,1,public_builders,85,160.9,2106,1217.3,4915,213579
5,1,companies,945,842.1,12457,8302.6,30585,1414779
6,5,housing_companies,591,532.4,7526,5330.2,19314,920516
7,5,real_estate_funds,58,62.8,1229,718.2,2726,121592
8,5,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0.0,0,0
9,5,manufacturing_industry,21,5.1,524,301.3,1126,46602
10,5,trade_banking_services_insurance_transport_and_communications,275,241.9,3178,1952.9,7419,326069
11,1,private_households,1286,148.0,1448,1827.6,6773,346575
12,1,non_profit_organizations,23,7.8,279,157.9,645,30017
13,0,non_residential_buildings,217,4708.3,47,18.9,65,1168968
14,13,institution_buildings,13,241.8,-1,-1.9,-11,107970
15,13,office_and_administration_buildings,53,2224.0,4,1.8,9,726591
16,13,algricultural_buildings,1,3.0,0,0.0,0,58
17,13,non_algricultural_buildings,85,1841.3,-7,-0.3,-16,222165
18,17,factory_and_workshop_buildings,18,166.7,1,1.1,3,25888
19,17,commercial_buildings,28,550.1,2,2.1,4,93703
20,17,warehouse_buildings,16,299.8,0,0.0,0,20092
21,17,hotels_and_restaurants,12,272.3,-12,-4.7,-30,41508
22,13,other_non_residential_buildings,65,398.2,51,19.2,83,112184
23,13,selected_infrastructure_buildings,80,648.2,50,17.4,72,230325
24,13,public_builders,41,394.2,-2,-2.8,-11,141045
25,13,companies,125,3585.7,56,20.1,82,577831
26,25,housing_companies,19,310.4,2,1.3,4,38669
27,25,real_estate_funds,10,536.9,0,0.0,0,98933
28,25,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0.0,0,0
29,25,manufacturing_industry,18,481.9,0,0.0,0,51907
30,25,trade_banking_services_insurance_transport_and_communications,78,2256.5,54,18.8,78,388322
31,13,private_households,17,40.9,-6,1.0,-14,4198
32,13,non_profit_organisations,34,687.6,-1,0.5,8,445894
