type_index,type_parent_index,type,buildings,oil,gas,electricity,district_heating,geothermal_energy,environmental_thermal_energy,solar_thermal_energy,wood,biogas_bio_methane,other_bio_mass,other_heating,no_heating,conventional_energy,renewable_energy
0,-1,residential_buildings,1589,0,98,151,3,8,14,290,1,5,0,5,1014,249,318
1,1,apartments,14704,0,315,667,43,58,444,1301,1,5,0,27,11843,982,1809
2,2,residential_buildings_with_1_apartment,935,0,75,131,0,2,4,205,1,5,0,3,509,206,217
3,2,residential_buildings_with_2_apartments,55,0,7,11,0,0,1,16,0,0,0,0,20,18,17
4,2,residential_buildings_with_3_or_more_apartments,588,0,14,9,3,6,9,68,0,0,0,2,477,23,83
5,4,apartments,12812,0,206,514,43,56,438,1017,0,0,0,24,10514,720,1511
6,2,dormitories,11,0,2,0,0,0,0,1,0,0,0,0,8,2,1
7,6,apartments,847,0,20,0,0,0,0,47,0,0,0,0,780,20,47
8,2,residential_buildings_with_condominium,172,0,6,1,0,4,7,19,0,0,0,0,135,7,30
9,8,apartments,3298,0,74,7,0,47,402,135,0,0,0,0,2633,81,584
10,0,non_residential_buildings,155,0,2,11,0,1,1,5,0,0,0,1,134,13,7
11,10,volume_1000_m3,3074,0,12,194,0,611,0,92,0,0,0,20,2145,207,703
12,10,institution_buildings,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0
13,12,volume_1000_m3,173,0,0,0,0,0,0,0,0,0,0,0,173,0,0
14,10,office_and_administration_buildings,36,0,0,3,0,1,0,2,0,0,0,0,30,3,3
15,14,volume_1000_m3,1497,0,0,68,0,611,0,73,0,0,0,0,746,68,684
16,10,agricultural_buildings,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,16,volume_1000_m3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,10,non_agricultural_buildings,65,0,1,7,0,0,0,3,0,0,0,1,53,8,3
19,18,volume_1000_m3,1188,0,1,119,0,0,0,19,0,0,0,20,1030,119,19
20,18,factory_and_workshop_buildings,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0
21,20,volume_1000_m3,101,0,0,0,0,0,0,0,0,0,0,0,101,0,0
22,18,commercial_buildings,19,0,0,4,0,0,0,2,0,0,0,1,12,4,2
23,22,volume_1000_m3,358,0,0,43,0,0,0,18,0,0,0,20,276,43,18
24,18,warehouse_buildings,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0
25,24,volume_1000_m3,176,0,0,0,0,0,0,0,0,0,0,0,176,0,0
26,18,hotels_and_restaurants,7,0,1,2,0,0,0,0,0,0,0,0,4,3,0
27,26,volume_1000_m3,103,0,1,72,0,0,0,0,0,0,0,0,31,72,0
28,18,other_non_residential_buildings,46,0,1,1,0,0,1,0,0,0,0,0,43,2,1
29,28,volume_1000_m3,215,0,12,8,0,0,0,0,0,0,0,0,195,19,0
30,10,darunter,55,0,1,1,0,0,1,0,0,0,0,0,52,2,1
31,30,selected_infrastructure_buildings,394,0,12,8,0,0,0,0,0,0,0,0,375,19,0
