type_index,type_parent_index,type,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
0,-1,residential_buildings,8912,5282,1493,1424,2365,279
1,0,residential_buildings_with_1_apartment,0,2615,596,605,1414,120
2,0,residential_buildings_with_2_apartments,0,251,81,71,99,5
3,0,residential_buildings_with_3_or_more_apartments,0,2380,811,733,836,153
4,0,dormitories,58,36,5,15,16,1
5,0,residential_buildings_with_condominium,1761,884,316,278,290,52
6,0,public_builders,535,425,170,170,85,3
7,0,companies,4351,2877,771,715,1391,216
8,7,housing_companies,3342,2271,632,529,1110,157
9,7,real_estate_funds,353,167,39,54,74,32
10,7,agriculture_forestry_animal_husbandry_fishing,2,1,1,0,0,0
11,7,manufacturing_industry,31,26,4,12,10,1
12,7,trade_banking_services_insurance_transport_and_communications,623,412,95,120,197,26
13,1,private_households,3956,1953,542,533,878,58
14,1,non_profit_organizations,70,27,10,6,11,2
15,1,2021 half-year 2,1408,912,28,149,735,2
16,1,2021 half-year 1,1596,1103,92,450,561,4
17,1,2020 half-year 2,1111,647,147,246,254,2
18,1,2020 half-year 1,970,622,265,120,237,15
19,1,2019,1399,784,328,212,244,77
20,1,2018 and earlier,2428,1214,633,247,334,179
21,1,Mitte,579,228,101,64,63,16
22,1,Friedrichshain-Kreuzberg,397,104,25,48,31,1
23,1,Pankow,1299,768,228,200,340,41
24,1,Charlottenburg-Wilmersdorf,540,179,89,38,52,15
25,1,Spandau,677,477,147,161,169,60
26,1,Steglitz-Zehlendorf,821,311,104,89,118,3
27,1,Tempelhof-Schöneberg,581,247,87,54,106,3
28,1,Neukölln,492,257,14,107,136,3
29,1,Treptow-Köpenick,1290,1002,222,375,405,54
30,1,Marzahn-Hellersdorf,969,810,307,101,402,44
31,1,Lichtenberg,798,677,93,122,462,27
32,1,Reinickendorf,469,222,76,65,81,12
