type_index,type_parent_index,type,buildings,district_heating,block_heating,central_heating,floor_heating,single_room_heating,without_heating
0,-1,residential_buildings,1868,432,386,1016,29,5,0
1,0,apartments,14134,8742,2600,2755,32,5,0
2,1,residential_buildings_with_1_apartment,1094,20,274,768,27,5,0
3,1,residential_buildings_with_2_apartments,79,2,2,74,1,0,0
4,1,residential_buildings_with_3_or_more_apartments,683,405,107,170,1,0,0
5,4,apartments,12010,8321,1864,1822,3,0,0
6,1,dormitories,12,5,3,4,0,0,0
7,6,apartments,872,397,458,17,0,0,0
8,1,residential_buildings_with_condominium,243,126,46,71,0,0,0
9,8,apartments,4265,2761,782,722,0,0,0
10,0,non_residential_buildings,182,84,4,70,0,4,20
11,10,volume_1000_m3,3993,2482,44,1026,0,62,379
12,10,institution_buildings,3,2,0,1,0,0,0
13,12,volume_1000_m3,69,41,0,27,0,0,0
14,10,office_and_administration_buildings,45,27,3,14,0,1,0
15,14,volume_1000_m3,1069,778,39,250,0,2,0
16,10,agricultural_buildings,0,0,0,0,0,0,0
17,16,volume_1000_m3,0,0,0,0,0,0,0
18,10,non_agricultural_buildings,80,31,0,27,0,2,20
19,18,volume_1000_m3,2481,1454,0,589,0,60,379
20,18,factory_and_workshop_buildings,25,11,0,11,0,1,2
21,20,volume_1000_m3,484,263,0,165,0,50,6
22,18,commercial_buildings,10,4,0,3,0,0,3
23,22,volume_1000_m3,207,55,0,67,0,0,85
24,18,warehouse_buildings,16,6,0,6,0,1,3
25,24,volume_1000_m3,1130,837,0,278,0,9,5
26,18,hotels_and_restaurants,13,7,0,6,0,0,0
27,26,volume_1000_m3,327,253,0,74,0,0,0
28,18,other_non_residential_buildings,54,24,1,28,0,1,0
29,28,volume_1000_m3,375,209,5,160,0,1,0
30,10,selected_infrastructure_buildings,61,28,1,31,0,1,0
31,30,volume_1000_m3,461,258,5,198,0,1,0
